"id","foodmenuname","foodcategoryId","foodingredientId","salesprice","vatId","description","vegitem","beverage","bar","photo"
"659e5f0143c4227e736e4db4","KARAK TEA","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","1","655ef1cfb3999d1add24f83e","Fa","yes","yes","yes","imgae-1702717596398. 1.jpg"
"659e5f0143c4227e736e4db7","BLACK TEA","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","1","655ef1cfb3999d1add24f83e","ggg","yes","yes","yes","imgae-1702717667601. login.png"
"659e5f0143c4227e736e4dba","GREEN TEA","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","1","655ef1b7b3999d1add24f83e","ggg","no","no","no","imgae-1702717698416. print.png"
"659e5f0143c4227e736e4dbd","FRESH MILK TEA","659e5b4243c4227e736e4d62","[""[\""655ef5c61532830df6b987ae\""]""]","2","655ef1cfb3999d1add24f83e","undefined","no","no","no","imgae-1704185465013. Rectangle 35.png"
"659e5f0143c4227e736e4dc0","LEMON TEA","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","2","655ef1b7b3999d1add24f83e","ggg","no","no","no","imgae-1704185580956. 2.jpg"
"659e5f0143c4227e736e4dc3","GINGER TEA","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","2","655ef1b7b3999d1add24f83e","ggg","no","no","no","imgae-1704185630795. 806701b3-67a1-4f07-ad90-848612a9624f.jpg"
"659e5f0243c4227e736e4dc6","FRESH MILK","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","2","655ef1cfb3999d1add24f83e","ggg","no","no","no","imgae-1704185675042. 89263826-c061-4bbe-9c6c-8e8c5273fcb8.jpg"
"659e5f0243c4227e736e4dc9","KARAK ZAFRAN","659e5b4243c4227e736e4d62","[""[\""655ef6041532830df6b987b6\""]""]","2","655ef1cfb3999d1add24f83e","vbb","no","no","no","imgae-1704185719234. Home page banner 1 (1).png"
"659e5f0243c4227e736e4dcc","BLACK COFFEE","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","2","655ef1cfb3999d1add24f83e","vvv","no","no","no","imgae-1704185771354. Rectangle 38.png"
"659e5f0243c4227e736e4dcf","CHUCK COFFEE","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","2","655ef1cfb3999d1add24f83e","CHICKEN PEPPER MASALA","no","no","no","imgae-1704185830329. Rectangle 48.png"
"659e5f0243c4227e736e4dd2","MILK COFFEE","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","3","655ef1cfb3999d1add24f83e","DAL PALAK","yes","no","no","imgae-1704185875694. Home page banner 1 (1).png"
"659e5f0243c4227e736e4dd5","BOOST","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","3","655ef1cfb3999d1add24f83e","EGG ROAST (2 EGG)","yes","no","no","imgae-1704185949131. 1addebb3-4d05-476c-a15b-463ce4c72ba0.png"
"659e5f0243c4227e736e4dd8","HORLICKS","659e5b4243c4227e736e4d62","[""[\""655ef6721532830df6b987bb\""]""]","3","655ef1cfb3999d1add24f83e","WEAT POROTA","yes","no","no","imgae-1704186001836. banner.jpg"
